iter	Passed	Remaining
0	0	625
1	1	598
2	1	579
3	2	576
4	2	569
5	3	566
6	4	580
7	4	576
8	5	574
9	5	579
10	6	581
11	7	585
12	7	584
13	8	583
14	8	585
15	9	591
16	10	598
17	10	596
18	11	591
19	12	588
20	12	586
21	13	589
22	14	594
23	14	591
24	15	590
25	15	587
26	16	584
27	16	582
28	17	580
29	17	579
30	18	578
31	19	578
32	19	576
33	20	574
34	20	572
35	21	570
36	21	571
37	22	572
38	23	573
39	23	572
40	24	572
41	25	572
42	25	575
43	26	575
44	27	574
45	27	572
46	28	572
47	28	573
48	29	575
49	30	573
50	30	574
51	31	574
52	32	573
53	32	571
54	33	571
55	33	569
56	34	567
57	35	569
58	35	569
59	36	567
60	36	566
61	37	565
62	38	565
63	38	564
64	39	564
65	39	564
66	40	566
67	41	565
68	41	564
69	42	563
70	42	561
71	43	562
72	44	562
73	44	562
74	45	563
75	46	564
76	47	564
77	47	563
78	48	562
79	48	561
80	49	560
81	49	558
82	50	557
83	51	556
84	51	554
85	52	553
86	52	552
87	53	551
88	53	550
89	54	549
90	54	548
91	55	548
92	56	555
93	57	556
94	58	557
95	59	556
96	59	556
97	60	556
98	61	555
99	61	554
100	62	555
101	62	554
102	63	553
103	64	552
104	64	550
105	65	549
106	65	548
107	66	547
108	66	546
109	67	544
110	67	543
111	68	543
112	69	542
113	69	541
114	70	541
115	70	540
116	71	540
117	72	539
118	72	538
119	73	537
120	73	536
121	74	536
122	75	536
123	76	537
124	76	536
125	77	534
126	77	533
127	78	532
128	78	532
129	79	531
130	80	530
131	80	529
132	81	529
133	81	528
134	82	527
135	82	526
136	83	525
137	83	524
138	84	523
139	85	523
140	85	522
141	86	521
142	87	521
143	87	521
144	88	521
145	89	520
146	89	519
147	90	518
148	90	518
149	91	518
150	92	517
151	92	517
152	93	517
153	94	517
154	94	516
155	95	515
156	95	514
157	96	513
158	96	512
159	97	512
160	98	511
161	98	510
162	99	509
163	99	508
164	100	507
165	100	507
166	101	506
167	102	505
168	102	505
169	103	505
170	104	505
171	105	505
172	105	505
173	106	505
174	107	504
175	107	505
176	108	505
177	109	504
178	109	504
179	110	503
180	111	502
181	111	502
182	112	501
183	112	500
184	113	500
185	114	499
186	114	498
187	115	497
188	115	497
189	116	497
190	117	497
191	118	496
192	118	496
193	119	495
194	119	494
195	120	493
196	120	492
197	121	492
198	122	491
199	122	491
200	123	491
201	124	491
202	125	491
203	125	490
204	126	489
205	126	489
206	127	488
207	127	487
208	128	486
209	129	485
210	129	484
211	130	483
212	130	482
213	131	481
214	131	481
215	132	480
216	132	479
217	133	479
218	134	479
219	134	478
220	135	477
221	136	477
222	136	476
223	137	477
224	138	476
225	139	476
226	139	475
227	140	475
228	141	474
229	141	474
230	142	473
231	142	472
232	143	471
233	143	470
234	144	469
235	144	468
236	145	468
237	145	467
238	146	466
239	147	466
240	147	465
241	148	464
242	149	464
243	149	463
244	150	463
245	150	462
246	151	461
247	151	460
248	152	460
249	153	459
250	153	458
251	154	458
252	155	458
253	155	457
254	156	456
255	156	455
256	157	455
257	158	454
258	158	454
259	159	453
260	160	453
